Agent Type,Terrain Type,Movements,Examinations,Actions
Agent 8,Hilly,5557,1454,7011
Agent 6,Hilly,2440,512,2952
Agent 7,Hilly,21056,2953,24009
Agent 8,Hilly,4704,1265,5969
Agent 6,Hilly,4176,787,4963
Agent 7,Hilly,4677,924,5601
Agent 8,Hilly,118983,9056,128039
Agent 6,Hilly,77179,8276,85455
Agent 7,Hilly,1615,410,2025
Agent 8,Hilly,3479,1008,4487
Agent 6,Hilly,6086,1282,7368
Agent 7,Hilly,10750,2017,12767
Agent 8,Hilly,7677,1876,9553
Agent 6,Hilly,8119,1594,9713
Agent 7,Hilly,4098,821,4919
Agent 8,Hilly,2934,842,3776
Agent 6,Hilly,26440,3323,29763
Agent 7,Hilly,9276,1819,11095
Agent 8,Hilly,3742,1022,4764
Agent 6,Hilly,3034,591,3625
Agent 7,Hilly,3302,677,3979
Agent 8,Hilly,20377,3601,23978
Agent 6,Hilly,50492,5482,55974
Agent 7,Hilly,6137,1310,7447
Agent 8,Hilly,1964,584,2548
Agent 6,Hilly,78463,7949,86412
Agent 7,Hilly,1514,379,1893
Agent 8,Hilly,46640,5170,51810
Agent 6,Hilly,8290,1587,9877
Agent 7,Hilly,7638,1498,9136
Agent 8,Hilly,8287,2007,10294
Agent 6,Hilly,7218,1459,8677
Agent 7,Hilly,4017,759,4776
Agent 8,Hilly,63328,5825,69153
Agent 6,Hilly,4041,866,4907
Agent 7,Hilly,164628,8728,173356
Agent 8,Hilly,65069,5846,70915
Agent 6,Hilly,27977,3646,31623
Agent 7,Hilly,14130,2404,16534
Agent 8,Hilly,11540,2464,14004
Agent 6,Hilly,26187,3307,29494
Agent 7,Hilly,5647,1167,6814
Agent 8,Hilly,5083,1299,6382
Agent 6,Hilly,4112,744,4856
Agent 7,Hilly,2555,637,3192
Agent 8,Hilly,5853,1517,7370
Agent 6,Hilly,48104,5251,53355
Agent 7,Hilly,79104,5495,84599
Agent 8,Hilly,24084,3606,27690
Agent 6,Hilly,28348,3209,31557
Agent 7,Hilly,4970,1014,5984
Agent 8,Hilly,2669,758,3427
Agent 6,Hilly,331202,24297,355499
Agent 7,Hilly,237051,11661,248712
Agent 8,Hilly,31201,4143,35344
Agent 6,Hilly,6431,1337,7768
Agent 7,Hilly,4088,883,4971
Agent 8,Hilly,2155,679,2834
Agent 6,Hilly,25707,3251,28958
Agent 7,Hilly,28200,3515,31715
Agent 8,Hilly,15913,2820,18733
Agent 6,Hilly,8433,1597,10030
Agent 7,Hilly,29659,3663,33322
Agent 8,Hilly,7260,1796,9056
Agent 6,Hilly,28280,3338,31618
Agent 7,Hilly,2050,481,2531
Agent 8,Hilly,3383,962,4345
Agent 6,Hilly,4306,865,5171
Agent 7,Hilly,131860,7561,139421
Agent 8,Hilly,7197,1814,9011
Agent 6,Hilly,4001,769,4770
Agent 7,Hilly,7409,1479,8888
Agent 8,Hilly,7989,1988,9977
Agent 6,Hilly,26741,3294,30035
Agent 7,Hilly,18985,2780,21765
Agent 8,Hilly,60745,5454,66199
Agent 6,Hilly,4805,955,5760
Agent 7,Hilly,5446,1131,6577
Agent 8,Hilly,4635,1326,5961
Agent 6,Hilly,49069,5295,54364
Agent 7,Hilly,2555,495,3050
Agent 8,Hilly,5391,1400,6791
Agent 6,Hilly,3541,665,4206
Agent 7,Hilly,9828,1943,11771
Agent 8,Hilly,112700,8326,121026
Agent 6,Hilly,6439,1384,7823
Agent 7,Hilly,3956,754,4710
Agent 8,Hilly,3229,854,4083
Agent 6,Hilly,2856,523,3379
Agent 7,Hilly,52747,4912,57659
Agent 8,Hilly,3344,957,4301
Agent 6,Hilly,222724,19573,242297
Agent 7,Hilly,6175,1292,7467
Agent 8,Hilly,4226,1198,5424
Agent 6,Hilly,134080,12705,146785
Agent 7,Hilly,984,154,1138
Agent 8,Hilly,63640,5806,69446
Agent 6,Hilly,5785,1237,7022
Agent 7,Hilly,5874,1252,7126
Agent 8,Hilly,8149,1982,10131
Agent 6,Hilly,76974,8178,85152
Agent 7,Hilly,2170,543,2713
Agent 8,Hilly,2573,718,3291
Agent 6,Hilly,6028,1220,7248
Agent 7,Hilly,5144,1048,6192
Agent 8,Hilly,5947,1557,7504
Agent 6,Hilly,3633,814,4447
Agent 7,Hilly,10411,2017,12428
Agent 8,Hilly,1421,469,1890
Agent 6,Hilly,3075,700,3775
Agent 7,Hilly,8079,1594,9673
Agent 8,Hilly,3239,953,4192
Agent 6,Hilly,6326,1329,7655
Agent 7,Hilly,18602,2737,21339
Agent 8,Hilly,6229,1587,7816
Agent 6,Hilly,26350,3603,29953
Agent 7,Hilly,26863,3360,30223
Agent 8,Hilly,3483,999,4482
Agent 6,Hilly,103266,10299,113565
Agent 7,Hilly,6125,1303,7428
Agent 8,Hilly,72317,6471,78788
Agent 6,Hilly,6245,1243,7488
Agent 7,Hilly,10654,2008,12662
Agent 8,Hilly,1143,367,1510
Agent 6,Hilly,2231,492,2723
Agent 7,Hilly,10305,2007,12312
Agent 8,Hilly,5142,1365,6507
Agent 6,Hilly,3953,764,4717
Agent 7,Hilly,7236,1451,8687
Agent 8,Hilly,3144,940,4084
Agent 6,Hilly,6805,1323,8128
Agent 7,Hilly,10109,1921,12030
Agent 8,Hilly,2480,726,3206
Agent 6,Flat,3343,690,4033
Agent 7,Flat,6401,1371,7772
Agent 8,Flat,4839,1336,6175
Agent 6,Flat,127975,12577,140552
Agent 7,Flat,4273,945,5218
Agent 8,Flat,2151,638,2789
Agent 6,Flat,2910,658,3568
Agent 7,Flat,2152,450,2602
Agent 8,Flat,4758,1297,6055
Agent 6,Flat,3084,727,3811
Agent 7,Flat,2685,584,3269
Agent 8,Flat,2975,876,3851
Agent 6,Flat,7596,1608,9204
Agent 7,Flat,7070,1500,8570
Agent 8,Flat,754,239,993
Agent 6,Flat,8166,1670,9836
Agent 7,Flat,4684,1053,5737
Agent 8,Flat,49725,5545,55270
Agent 6,Flat,63659,7183,70842
Agent 7,Flat,24681,3295,27976
Agent 8,Flat,15672,2839,18511
Agent 6,Flat,67287,6842,74129
Agent 7,Flat,46094,4720,50814
Agent 8,Flat,4873,1394,6267
Agent 6,Flat,182730,18334,201064
Agent 7,Flat,24479,3309,27788
Agent 8,Flat,1617,490,2107
Agent 6,Flat,6282,1353,7635
Agent 7,Flat,6471,1467,7938
Agent 8,Flat,3172,925,4097
Agent 6,Flat,4964,1114,6078
Agent 7,Flat,2447,578,3025
Agent 8,Flat,2134,626,2760
Agent 6,Flat,6911,1492,8403
Agent 7,Flat,4679,992,5671
Agent 8,Flat,11719,2495,14214
Agent 6,Flat,2726,615,3341
Agent 7,Flat,1824,406,2230
Agent 8,Flat,1740,536,2276
Agent 6,Flat,6605,1442,8047
Agent 7,Flat,8049,1677,9726
Agent 8,Flat,19642,3167,22809
Agent 6,Flat,7313,1626,8939
Agent 7,Flat,2326,529,2855
Agent 8,Flat,12790,2696,15486
Agent 6,Flat,2979,608,3587
Agent 7,Flat,6213,1364,7577
Agent 8,Flat,5068,1447,6515
Agent 6,Flat,65329,7086,72415
